"type","C240","ECB","FWO","PerDiff_FWO","PerDiff_ECB"
"QFC",909.774710621687,676.129070885002,891.098427170743,2.09587211485065,34.5563664983169
"total",960.41366935263,723.371059012003,940.007170105836,2.17088761615476,32.7691587031952
