"Region","ECB","FWO","C240","PerDiff_FWO","PerDiff_ECB"
"Cal",420.325606910356,257.658008765432,172.331744079033,-33.1160925659712,-59.0004174749727
"LWLagoon",93.2378830826227,17.9086406435603,8.64457665315613,-51.7295766596076,-90.7284717677516
"StL",198.29611055752,126.394573648115,103.745277120777,-17.9195165374691,-47.681637915594
"WCAs",59.9295089890822,298.216499721173,501.839181203249,68.2801527321458,737.382434243994
